id,nombre,apellido,email,pais,provincia,matematica,fisica,literatura,programacion,telefono
23,Martín,Castañeda,martín.castañeda@universidadvirtual.edu.ar,Argentina,Río Negro,8.39,6.45,8.67,7.22,586-555-3702
24,Lautaro,Gallardo,lautaro.gallardo@universidadvirtual.edu.ar,Argentina,Santa Fe,7.53,5.14,4.88,8.74,109-600-2699
25,Ariel,Guevara,ariel.guevara@universidadvirtual.edu.ar,Argentina,Santiago del Estero,2.26,8.94,3.92,4.05,288-507-5338
26,Enzo,Lozada,enzo.lozada@universidadvirtual.edu.ar,Argentina,Jujuy,9.65,9.65,9.95,5.99,893-194-7326
27,Martín,Tobar,martín.tobar@universidadvirtual.edu.ar,Argentina,Santiago del Estero,6.88,7.63,7.77,4.64,160-381-8810
28,Walter,Bustos,walter.bustos@universidadvirtual.edu.ar,Argentina,Salta,3.15,4.71,8.63,9.93,649-745-8609
29,Federico,Avelar,federico.avelar@universidadvirtual.edu.ar,Argentina,La Pampa,2.86,5.59,8.68,4.66,760-628-7121
30,Rafael,Salazar,rafael.salazar@universidadvirtual.edu.ar,Argentina,Jujuy,4.78,10.0,3.21,8.29,788-119-2049
31,Esteban,Cañizares,esteban.cañizares@universidadvirtual.edu.ar,Argentina,La Pampa,9.45,6.11,7.67,5.32,430-936-0472
32,Esteban,Figueroa,esteban.figueroa@universidadvirtual.edu.ar,Argentina,La Rioja,2.62,6.42,5.42,8.61,256-319-1237
33,Valentina,Quezada,valentina.quezada@universidadvirtual.edu.ar,Argentina,Salta,5.74,8.48,6.78,5.51,673-235-8447
34,Iván,Yáñez,iván.yáñez@universidadvirtual.edu.ar,Argentina,Entre Ríos,2.1,4.78,6.74,4.43,242-141-2427
35,Nerea,Luján,nerea.luján@universidadvirtual.edu.ar,Argentina,Tucumán,3.49,4.97,4.77,5.12,721-868-3981
36,Candela,Parra,candela.parra@universidadvirtual.edu.ar,Argentina,Mendoza,4.86,9.36,7.57,9.04,990-644-2973
37,Nicolás,Robles,nicolás.robles@universidadvirtual.edu.ar,Argentina,Chaco,9.9,7.2,8.46,9.35,360-115-5113
38,Adrián,Flores,adrián.flores@universidadvirtual.edu.ar,Argentina,Neuquén,7.53,8.99,6.58,6.47,522-451-2847
39,Ángel,Varela,ángel.varela@universidadvirtual.edu.ar,Argentina,Salta,8.56,7.64,7.35,6.6,842-651-0776
40,Mía,Quevedo,mía.quevedo@universidadvirtual.edu.ar,Argentina,Chaco,8.42,9.7,5.16,7.57,312-672-9676
41,Axel,Ovalle,axel.ovalle@universidadvirtual.edu.ar,Argentina,Jujuy,2.9,5.74,9.29,6.92,737-357-0934
42,Guillermina,Arellano,guillermina.arellano@universidadvirtual.edu.ar,Argentina,Santa Fe,3.32,6.85,8.42,6.31,445-406-0864
43,Guillermina,Lozano,guillermina.lozano@universidadvirtual.edu.ar,Argentina,San Juan,5.22,4.21,3.18,9.98,651-844-9661
44,Rocío,Sosa,rocío.sosa@universidadvirtual.edu.ar,Argentina,Santa Cruz,7.58,9.42,3.77,7.73,370-774-9020
45,Josefina,Castro,josefina.castro@universidadvirtual.edu.ar,Argentina,Chaco,5.29,5.22,8.69,7.46,182-493-7893
46,Renata,Chaves,renata.chaves@universidadvirtual.edu.ar,Argentina,Río Negro,8.5,6.32,5.44,6.34,198-837-5902
47,Silvia,Aguayo,silvia.aguayo@universidadvirtual.edu.ar,Argentina,Tucumán,2.59,7.62,4.46,4.53,871-438-1261
48,Ramiro,Flores,ramiro.flores@universidadvirtual.edu.ar,Argentina,La Rioja,5.73,9.4,4.74,8.22,138-620-5917
49,Jazmín,Bravo,jazmín.bravo@universidadvirtual.edu.ar,Argentina,San Juan,9.54,5.13,7.2,9.57,641-233-9991
50,Lucía,Perdomo,lucía.perdomo@universidadvirtual.edu.ar,Argentina,Tucumán,3.2,9.43,3.03,5.47,825-800-7314
51,Federico,Saavedra,federico.saavedra@universidadvirtual.edu.ar,Argentina,Entre Ríos,9.88,6.01,9.82,9.25,198-252-1722
52,Gael,Trejo,gael.trejo@universidadvirtual.edu.ar,Argentina,La Pampa,3.68,6.08,3.82,6.79,644-262-5794
53,Sofía,Méndez,sofía.méndez@universidadvirtual.edu.ar,Argentina,Salta,7.89,9.55,3.05,6.46,639-119-2960
54,Celeste,Fuentes,celeste.fuentes@universidadvirtual.edu.ar,Argentina,Jujuy,9.82,9.27,9.87,7.71,326-302-2364
55,Darío,Bastidas,darío.bastidas@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,9.34,9.33,4.83,6.86,519-103-0428
56,Nazarena,Villaseñor,nazarena.villaseñor@universidadvirtual.edu.ar,Argentina,Santa Fe,6.49,9.98,3.79,4.46,312-863-1665
57,Rodrigo,Gallardo,rodrigo.gallardo@universidadvirtual.edu.ar,Argentina,Santa Cruz,9.94,4.44,4.31,4.36,440-472-5850
58,Santiago,Infante,santiago.infante@universidadvirtual.edu.ar,Argentina,Santa Fe,6.5,7.79,8.81,5.86,989-457-4403
59,Lara,Enciso,lara.enciso@universidadvirtual.edu.ar,Argentina,San Juan,2.91,9.99,8.93,8.1,487-934-9621
60,María,Tamez,maría.tamez@universidadvirtual.edu.ar,Argentina,Mendoza,6.38,4.97,8.2,7.76,707-299-4828
61,Cristian,Capdevila,cristian.capdevila@universidadvirtual.edu.ar,Argentina,Neuquén,4.55,9.07,5.74,4.07,170-338-7321
62,Máximo,Bañuelos,máximo.bañuelos@universidadvirtual.edu.ar,Argentina,Chubut,4.55,7.14,7.85,8.54,350-254-4277
63,Thiago,Henríquez,thiago.henríquez@universidadvirtual.edu.ar,Argentina,Santa Cruz,3.82,7.46,7.12,5.92,369-776-9865
64,Teresa,Huerta,teresa.huerta@universidadvirtual.edu.ar,Argentina,La Pampa,3.37,5.34,3.45,6.07,753-460-9304
65,Facundo,Mayorga,facundo.mayorga@universidadvirtual.edu.ar,Argentina,San Luis,7.74,9.3,5.37,6.21,615-793-8371
66,Ángel,Godínez,ángel.godínez@universidadvirtual.edu.ar,Argentina,La Pampa,3.85,8.72,8.8,9.17,847-556-5656
67,Federico,Almada,federico.almada@universidadvirtual.edu.ar,Argentina,San Juan,6.95,5.43,5.89,4.11,789-315-5656
68,Tomás,Ureña,tomás.ureña@universidadvirtual.edu.ar,Argentina,Tucumán,2.74,8.55,5.91,5.23,693-576-1631
69,Olivia,Marroquín,olivia.marroquín@universidadvirtual.edu.ar,Argentina,Corrientes,4.96,8.14,4.77,6.37,894-935-6342
70,Damián,Almada,damián.almada@universidadvirtual.edu.ar,Argentina,Entre Ríos,4.68,8.06,4.15,7.27,485-404-5584
71,Carmen,Quiñones,carmen.quiñones@universidadvirtual.edu.ar,Argentina,Salta,6.93,8.96,8.04,8.8,652-189-3266
72,Dante,Serrano,dante.serrano@universidadvirtual.edu.ar,Argentina,Chaco,4.72,9.43,8.38,5.46,179-158-3332
73,Fátima,Rangel,fátima.rangel@universidadvirtual.edu.ar,Argentina,Salta,5.56,6.56,6.32,9.95,787-338-8430
74,Luz,Lara,luz.lara@universidadvirtual.edu.ar,Argentina,La Pampa,7.48,6.46,6.46,4.07,527-214-5919
75,Patricia,Buitrago,patricia.buitrago@universidadvirtual.edu.ar,Argentina,San Luis,3.09,9.74,9.66,8.49,142-346-4077
76,Valentina,Becerra,valentina.becerra@universidadvirtual.edu.ar,Argentina,Mendoza,5.34,7.74,3.27,5.63,175-278-0547
77,Emilia,Falcón,emilia.falcón@universidadvirtual.edu.ar,Argentina,Mendoza,9.84,5.12,8.89,7.35,126-618-0095
78,Cintia,Aparicio,cintia.aparicio@universidadvirtual.edu.ar,Argentina,Córdoba,6.58,7.04,6.56,7.75,888-702-1014
79,Joaquín,Cuéllar,joaquín.cuéllar@universidadvirtual.edu.ar,Argentina,Chubut,7.8,7.25,5.91,6.34,841-778-9855
80,Carmen,Lozada,carmen.lozada@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,3.87,9.54,4.06,6.62,607-583-9838
81,Manuel,Quintero,manuel.quintero@universidadvirtual.edu.ar,Argentina,Córdoba,9.79,8.2,5.34,4.18,683-172-1958
82,Alan,Escobar,alan.escobar@universidadvirtual.edu.ar,Argentina,Córdoba,5.5,8.33,9.13,5.19,496-453-8069
83,Luz,Zúñiga,luz.zúñiga@universidadvirtual.edu.ar,Argentina,La Pampa,6.1,6.82,7.42,7.39,490-692-8313
84,Milagros,Roque,milagros.roque@universidadvirtual.edu.ar,Argentina,Corrientes,6.48,5.92,6.39,9.98,913-288-3360
85,Ariel,Duarte,ariel.duarte@universidadvirtual.edu.ar,Argentina,Neuquén,5.32,6.91,6.51,4.7,661-586-3068
86,Diego,Romero,diego.romero@universidadvirtual.edu.ar,Argentina,San Juan,4.26,8.31,4.72,9.5,933-913-8049
87,Brenda,Ibarra,brenda.ibarra@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,5.44,4.14,8.78,7.99,755-997-6793
88,Franco,Figueroa,franco.figueroa@universidadvirtual.edu.ar,Argentina,La Rioja,2.56,8.59,6.54,6.1,899-811-3752
89,Yamila,Robledo,yamila.robledo@universidadvirtual.edu.ar,Argentina,Córdoba,8.8,7.9,4.46,5.57,244-852-1289
90,Patricia,Bustos,patricia.bustos@universidadvirtual.edu.ar,Argentina,La Rioja,7.22,6.92,7.55,6.48,845-299-9789
91,Federico,Arguello,federico.arguello@universidadvirtual.edu.ar,Argentina,Río Negro,2.33,7.54,5.46,8.91,108-463-1770
92,Ian,Sarmiento,ian.sarmiento@universidadvirtual.edu.ar,Argentina,Río Negro,5.84,7.75,3.59,9.33,389-338-2872
93,Ana,Falcón,ana.falcón@universidadvirtual.edu.ar,Argentina,San Luis,2.64,5.01,4.85,7.63,933-125-2415
94,Mónica,Guevara,mónica.guevara@universidadvirtual.edu.ar,Argentina,Corrientes,3.4,7.46,3.53,8.51,148-675-8871
95,Valentina,Covarrubias,valentina.covarrubias@universidadvirtual.edu.ar,Argentina,Misiones,3.53,9.82,5.39,8.4,482-205-6162
96,Patricia,Saucedo,patricia.saucedo@universidadvirtual.edu.ar,Argentina,San Juan,5.35,7.22,7.88,8.47,898-563-5305
97,Carla,Arce,carla.arce@universidadvirtual.edu.ar,Argentina,Misiones,3.06,7.59,7.11,5.92,534-809-8430
98,Carmen,Casanova,carmen.casanova@universidadvirtual.edu.ar,Argentina,Misiones,5.03,7.86,9.78,8.23,416-499-6946
99,Nazarena,Valencia,nazarena.valencia@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,6.41,7.07,6.07,6.55,131-289-1683
100,Patricia,Saavedra,patricia.saavedra@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,7.05,5.15,6.05,5.03,396-873-7016
101,Daniela,Álvarez,daniela.álvarez@universidadvirtual.edu.ar,Argentina,Catamarca,2.55,7.64,3.02,4.25,934-895-7706
102,Norma,Amaya,norma.amaya@universidadvirtual.edu.ar,Argentina,Entre Ríos,7.94,7.28,7.65,4.1,684-621-2961
103,Abril,Ocampo,abril.ocampo@universidadvirtual.edu.ar,Argentina,Jujuy,2.92,6.76,7.67,4.4,107-383-1754
104,Camila,Del Río,camila.del río@universidadvirtual.edu.ar,Argentina,Formosa,5.54,9.67,4.44,9.35,596-265-2212
105,Rodrigo,Oyola,rodrigo.oyola@universidadvirtual.edu.ar,Argentina,Catamarca,3.7,7.08,9.93,5.77,346-210-3046
106,Yamila,Avelar,yamila.avelar@universidadvirtual.edu.ar,Argentina,Neuquén,5.4,9.19,9.47,7.88,526-868-6693
107,Julieta,Romero,julieta.romero@universidadvirtual.edu.ar,Argentina,Catamarca,5.35,6.74,6.65,4.83,848-814-0956
108,Sheila,Pedraza,sheila.pedraza@universidadvirtual.edu.ar,Argentina,Neuquén,5.27,5.18,6.03,4.16,327-640-9995
109,Mariana,Lozano,mariana.lozano@universidadvirtual.edu.ar,Argentina,Córdoba,8.75,7.5,8.41,8.4,315-760-5463
110,Cintia,Guerrero,cintia.guerrero@universidadvirtual.edu.ar,Argentina,Chubut,6.15,8.09,8.57,4.94,510-402-7235
111,Lidia,Luján,lidia.luján@universidadvirtual.edu.ar,Argentina,Corrientes,3.22,5.79,7.86,4.8,378-522-6438
112,Lourdes,Suárez,lourdes.suárez@universidadvirtual.edu.ar,Argentina,Formosa,4.38,5.71,6.89,8.73,766-268-0021
113,Valentín,Ortega,valentín.ortega@universidadvirtual.edu.ar,Argentina,Santa Cruz,3.12,4.46,9.04,9.76,623-792-6651
114,Cristian,Montiel,cristian.montiel@universidadvirtual.edu.ar,Argentina,Misiones,9.24,9.22,7.91,5.92,264-798-8195
115,Gonzalo,Godoy,gonzalo.godoy@universidadvirtual.edu.ar,Argentina,Santa Cruz,8.55,7.35,5.31,8.77,500-936-0754
116,Brenda,Matos,brenda.matos@universidadvirtual.edu.ar,Argentina,Tucumán,2.92,7.86,8.88,8.27,593-953-4901
117,Luz,Gómez,luz.gómez@universidadvirtual.edu.ar,Argentina,Jujuy,5.42,9.07,4.16,6.99,207-314-3149
118,Malena,Orozco,malena.orozco@universidadvirtual.edu.ar,Argentina,Buenos Aires,4.78,8.23,8.75,6.9,574-644-4879
119,Pedro,Sosa,pedro.sosa@universidadvirtual.edu.ar,Argentina,Jujuy,3.07,9.89,9.97,9.56,866-545-3533
120,Juan,Arellano,juan.arellano@universidadvirtual.edu.ar,Argentina,Chaco,3.0,5.08,4.77,4.72,485-908-1031
121,Jazmín,Montiel,jazmín.montiel@universidadvirtual.edu.ar,Argentina,Chubut,7.84,8.73,5.86,6.72,246-130-7082
122,Hugo,Coronel,hugo.coronel@universidadvirtual.edu.ar,Argentina,Santa Cruz,5.56,7.79,3.32,4.59,915-893-1511
123,Ariel,Salinas,ariel.salinas@universidadvirtual.edu.ar,Argentina,San Juan,9.77,8.33,6.91,4.71,415-831-6608
124,Lara,Infante,lara.infante@universidadvirtual.edu.ar,Argentina,Mendoza,3.44,5.01,9.72,5.79,530-275-1804
125,Federico,Becerra,federico.becerra@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,3.37,8.2,4.56,5.14,604-551-2640
126,Laura,Jáuregui,laura.jáuregui@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,2.26,4.99,7.26,8.79,277-519-7886
127,Benjamín,Villegas,benjamín.villegas@universidadvirtual.edu.ar,Argentina,La Rioja,7.53,9.58,6.84,8.99,495-834-5828
128,Axel,Maldonado,axel.maldonado@universidadvirtual.edu.ar,Argentina,Salta,9.85,9.44,9.4,5.94,169-686-6639
129,Pilar,Varela,pilar.varela@universidadvirtual.edu.ar,Argentina,Buenos Aires,9.16,8.06,4.36,4.42,239-682-9980
130,Juan,Portillo,juan.portillo@universidadvirtual.edu.ar,Argentina,Salta,6.37,8.29,4.36,6.18,947-556-5460
131,Julieta,Díaz,julieta.díaz@universidadvirtual.edu.ar,Argentina,La Pampa,5.56,5.9,8.7,4.93,985-144-0934
132,Luz,Llamas,luz.llamas@universidadvirtual.edu.ar,Argentina,La Rioja,2.13,9.36,5.21,4.89,736-958-2718
133,Walter,Zambrano,walter.zambrano@universidadvirtual.edu.ar,Argentina,San Luis,6.38,7.22,4.02,5.91,526-569-6402
134,Martín,Reza,martín.reza@universidadvirtual.edu.ar,Argentina,Tucumán,5.04,6.17,9.21,8.84,615-560-4925
135,Marcos,Valderrama,marcos.valderrama@universidadvirtual.edu.ar,Argentina,Misiones,7.14,5.24,5.98,4.45,925-400-3982
136,Ángel,Saavedra,ángel.saavedra@universidadvirtual.edu.ar,Argentina,Santiago del Estero,6.68,7.69,3.54,6.59,621-531-0156
137,Adrián,Barboza,adrián.barboza@universidadvirtual.edu.ar,Argentina,Tucumán,3.58,4.95,4.37,5.94,565-193-8001
138,Vanesa,Carrillo,vanesa.carrillo@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,4.83,6.76,4.2,9.43,868-363-9499
139,Axel,Tapia,axel.tapia@universidadvirtual.edu.ar,Argentina,San Juan,4.41,9.23,8.63,7.93,667-801-9266
140,Fabián,Tinoco,fabián.tinoco@universidadvirtual.edu.ar,Argentina,Misiones,7.18,7.81,3.33,6.43,289-577-8725
141,Fabián,Delgado,fabián.delgado@universidadvirtual.edu.ar,Argentina,Buenos Aires,4.92,9.32,4.18,4.78,493-216-5139
142,Néstor,Rosales,néstor.rosales@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,4.06,8.36,7.22,5.74,914-564-5059
143,Sheila,Rivas,sheila.rivas@universidadvirtual.edu.ar,Argentina,Santa Cruz,7.58,8.48,8.8,6.28,526-671-2393
144,Carmen,Domínguez,carmen.domínguez@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,9.24,8.32,4.59,6.68,901-169-6987
145,Norma,Aguayo,norma.aguayo@universidadvirtual.edu.ar,Argentina,Formosa,8.88,5.05,3.51,4.37,238-517-2809
146,Leandro,Palma,leandro.palma@universidadvirtual.edu.ar,Argentina,Corrientes,3.99,4.08,4.83,4.28,384-973-4100
147,Álvaro,Bravo,álvaro.bravo@universidadvirtual.edu.ar,Argentina,Santa Cruz,3.1,4.28,7.44,7.18,460-851-6625
148,Emilia,Delgadillo,emilia.delgadillo@universidadvirtual.edu.ar,Argentina,Jujuy,8.51,4.15,4.76,9.87,443-108-0424
149,Darío,Henríquez,darío.henríquez@universidadvirtual.edu.ar,Argentina,Córdoba,7.74,9.94,8.47,6.38,679-429-7412
150,Diego,Espinoza,diego.espinoza@universidadvirtual.edu.ar,Argentina,Neuquén,6.04,8.84,7.43,5.02,686-853-1472
151,Walter,Serrano,walter.serrano@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,9.8,6.45,8.43,9.19,371-222-1356
152,Catalina,Chacón,catalina.chacón@universidadvirtual.edu.ar,Argentina,Salta,6.81,8.1,6.1,7.09,186-671-9074
153,Ramiro,Calderón,ramiro.calderón@universidadvirtual.edu.ar,Argentina,Santa Fe,3.8,6.16,6.84,9.48,733-646-1382
154,Nicolás,Rentería,nicolás.rentería@universidadvirtual.edu.ar,Argentina,Catamarca,9.65,4.19,3.91,8.31,272-868-5525
155,Raúl,Godínez,raúl.godínez@universidadvirtual.edu.ar,Argentina,Córdoba,9.69,8.89,6.94,4.01,670-913-7497
156,Brenda,Rodríguez,brenda.rodríguez@universidadvirtual.edu.ar,Argentina,Santa Cruz,2.37,5.01,9.05,8.22,489-586-8664
157,Nicolás,Díaz,nicolás.díaz@universidadvirtual.edu.ar,Argentina,Córdoba,7.27,5.5,7.32,8.67,535-853-8042
158,Ana,Aparicio,ana.aparicio@universidadvirtual.edu.ar,Argentina,Corrientes,5.15,5.3,8.99,9.16,729-175-9687
159,Cintia,Bravo,cintia.bravo@universidadvirtual.edu.ar,Argentina,San Luis,4.28,9.75,3.55,9.34,801-112-4989
160,Sergio,Mayorga,sergio.mayorga@universidadvirtual.edu.ar,Argentina,Formosa,6.31,6.32,8.43,6.71,703-301-0721
161,Ezequiel,Nieves,ezequiel.nieves@universidadvirtual.edu.ar,Argentina,Santiago del Estero,6.39,9.99,9.2,4.21,713-497-1331
162,Carla,Ortega,carla.ortega@universidadvirtual.edu.ar,Argentina,Jujuy,4.1,7.75,9.91,7.51,640-690-2780
163,Zoe,Avendaño,zoe.avendaño@universidadvirtual.edu.ar,Argentina,Río Negro,5.47,7.4,5.25,9.5,543-406-3343
164,Manuel,Tello,manuel.tello@universidadvirtual.edu.ar,Argentina,Catamarca,5.49,8.45,7.95,4.45,209-571-6840
165,Leandro,Roque,leandro.roque@universidadvirtual.edu.ar,Argentina,San Luis,9.66,9.72,4.18,6.57,819-415-9817
166,Enzo,Méndez,enzo.méndez@universidadvirtual.edu.ar,Argentina,Chubut,3.84,7.58,4.96,4.52,519-502-9587
167,Martina,Meneses,martina.meneses@universidadvirtual.edu.ar,Argentina,Mendoza,2.09,8.88,6.91,5.99,619-765-0682
168,Simón,Ibarra,simón.ibarra@universidadvirtual.edu.ar,Argentina,Entre Ríos,3.78,5.24,5.72,4.8,385-787-6630
169,Ailén,Erazo,ailén.erazo@universidadvirtual.edu.ar,Argentina,Jujuy,4.76,9.49,9.34,7.66,991-473-1671
170,Axel,Lucena,axel.lucena@universidadvirtual.edu.ar,Argentina,Corrientes,5.58,4.92,8.07,4.88,267-562-0580
171,Eugenia,Buitrago,eugenia.buitrago@universidadvirtual.edu.ar,Argentina,Mendoza,6.58,8.37,6.5,6.25,936-533-1371
172,Marcos,Salcedo,marcos.salcedo@universidadvirtual.edu.ar,Argentina,Buenos Aires,6.44,9.14,9.59,7.35,402-696-5267
173,Elena,Tello,elena.tello@universidadvirtual.edu.ar,Argentina,Santiago del Estero,4.54,9.33,4.5,8.61,586-632-9821
174,Cristian,Vega,cristian.vega@universidadvirtual.edu.ar,Argentina,Neuquén,9.05,8.38,3.72,8.05,706-950-3672
175,Delfina,Avendaño,delfina.avendaño@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,8.78,7.83,5.02,9.65,617-838-0755
176,Ariel,Vega,ariel.vega@universidadvirtual.edu.ar,Argentina,Misiones,2.37,8.28,4.95,6.94,109-461-9423
177,Emilia,Juárez,emilia.juárez@universidadvirtual.edu.ar,Argentina,Misiones,7.59,6.94,4.54,5.5,407-221-6324
178,Ramiro,Durán,ramiro.durán@universidadvirtual.edu.ar,Argentina,Buenos Aires,2.4,5.99,6.98,5.58,286-786-4754
179,Enzo,García,enzo.garcía@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,2.73,4.14,8.6,7.53,939-363-3644
180,Valentina,Romero,valentina.romero@universidadvirtual.edu.ar,Argentina,Jujuy,9.65,9.78,6.76,4.32,120-619-5354
181,Cristian,Castañón,cristian.castañón@universidadvirtual.edu.ar,Argentina,Chubut,6.94,9.39,4.71,5.36,969-929-9889
182,Mónica,Roldán,mónica.roldán@universidadvirtual.edu.ar,Argentina,Entre Ríos,5.3,5.56,5.1,6.41,789-257-0093
183,Ángel,Escobar,ángel.escobar@universidadvirtual.edu.ar,Argentina,La Pampa,2.37,7.91,8.89,4.41,889-478-1394
184,Josefina,Rivas,josefina.rivas@universidadvirtual.edu.ar,Argentina,Entre Ríos,5.28,9.8,5.28,8.33,934-463-0266
185,Claudia,Lara,claudia.lara@universidadvirtual.edu.ar,Argentina,Mendoza,6.34,6.14,8.28,5.0,463-784-8902
186,Laura,Tapia,laura.tapia@universidadvirtual.edu.ar,Argentina,Buenos Aires,4.96,5.93,7.59,8.57,156-776-0958
187,Valentín,Farías,valentín.farías@universidadvirtual.edu.ar,Argentina,La Rioja,7.52,8.88,9.16,4.8,917-151-3972
188,Carmen,Muñiz,carmen.muñiz@universidadvirtual.edu.ar,Argentina,Santiago del Estero,5.9,8.73,9.6,8.85,240-857-3907
189,Melina,Bustamante,melina.bustamante@universidadvirtual.edu.ar,Argentina,Catamarca,7.69,8.34,4.85,6.18,601-371-0939
190,Cintia,Méndez,cintia.méndez@universidadvirtual.edu.ar,Argentina,La Pampa,8.79,7.64,7.27,5.45,532-728-5659
191,Mía,Castellanos,mía.castellanos@universidadvirtual.edu.ar,Argentina,Santa Cruz,7.72,7.67,6.73,9.88,924-821-4250
192,Graciela,Serrano,graciela.serrano@universidadvirtual.edu.ar,Argentina,Formosa,4.41,7.77,3.02,9.86,333-482-2344
193,Carolina,Ovalle,carolina.ovalle@universidadvirtual.edu.ar,Argentina,Chaco,2.12,6.72,5.77,7.75,677-257-4692
194,Florencia,Palacios,florencia.palacios@universidadvirtual.edu.ar,Argentina,Chaco,8.84,8.0,6.54,8.1,448-380-8917
195,Mía,Marroquín,mía.marroquín@universidadvirtual.edu.ar,Argentina,Formosa,3.58,8.87,3.85,4.66,466-280-1063
196,Raúl,Elizalde,raúl.elizalde@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,2.93,6.34,5.22,7.96,832-296-7783
197,Sebastián,Luján,sebastián.luján@universidadvirtual.edu.ar,Argentina,Misiones,8.88,6.55,4.79,5.16,413-322-6864
198,Santiago,Nava,santiago.nava@universidadvirtual.edu.ar,Argentina,La Rioja,6.77,9.0,6.25,5.04,982-822-0404
199,Nicolás,Soto,nicolás.soto@universidadvirtual.edu.ar,Argentina,Santa Fe,9.03,7.12,9.49,4.38,865-251-3629
200,Hugo,Fonseca,hugo.fonseca@universidadvirtual.edu.ar,Argentina,Chaco,7.06,8.84,5.04,9.67,758-439-0812
201,Rocío,Tamez,rocío.tamez@universidadvirtual.edu.ar,Argentina,Mendoza,6.5,4.52,4.33,7.31,289-680-7139
202,Brenda,Sánchez,brenda.sánchez@universidadvirtual.edu.ar,Argentina,Córdoba,6.53,7.48,8.07,8.64,982-749-4484
